seed	candidate_name	top200_overlap	top200_fold_enrichment	top200_hypergeom_pvalue	top500_overlap	top500_hypergeom_pvalue
1989451307	rbp_trace_v2_score_hairpin__beta_0.25	16	22.376565656565656	3.663154997960854e-17	23	9.140100293996939e-19
1989451307	rbp_trace_v2_score_hairpin__beta_0.5	17	23.77510101010101	1.308791025749298e-18	24	5.792402431394479e-20
1989451307	rbp_trace_v2_score_hairpin__beta_1.0	16	22.376565656565656	3.663154997960854e-17	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.1__beta_hairpin_0.1	13	18.180959595959596	5.156837834697902e-13	26	2.014935397698134e-22
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.1__beta_hairpin_0.25	14	19.57949494949495	2.3087246810897346e-14	25	3.497356615639897e-21
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.1__beta_hairpin_0.5	17	23.77510101010101	1.308791025749298e-18	24	5.792402431394479e-20
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.1__beta_hairpin_1.0	17	23.77510101010101	1.308791025749298e-18	23	9.140100293996939e-19
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.25__beta_hairpin_0.1	8	11.188282828282828	7.102170742175267e-07	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.25__beta_hairpin_0.25	12	16.78242424242424	1.058738683901139e-11	24	5.792402431394479e-20
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.25__beta_hairpin_0.5	13	18.180959595959596	5.156837834697902e-13	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.25__beta_hairpin_1.0	16	22.376565656565656	3.663154997960854e-17	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.5__beta_hairpin_0.1	7	9.789747474747475	8.56673938739102e-06	15	4.850136187818098e-10
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.5__beta_hairpin_0.25	9	12.586818181818181	5.190545154851394e-08	19	3.369443414552566e-14
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.5__beta_hairpin_0.5	12	16.78242424242424	1.058738683901139e-11	21	1.9547727806466843e-16
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.5__beta_hairpin_1.0	14	19.57949494949495	2.3087246810897346e-14	20	2.6393664570210143e-15
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_1.0__beta_hairpin_0.1	7	9.789747474747475	8.56673938739102e-06	11	2.217673353739476e-06
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_1.0__beta_hairpin_0.25	7	9.789747474747475	8.56673938739102e-06	13	3.850323107076825e-08
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_1.0__beta_hairpin_0.5	8	11.188282828282828	7.102170742175267e-07	16	4.882974508817255e-11
1989451307	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_1.0__beta_hairpin_1.0	11	15.383888888888889	1.9865406411345842e-10	18	4.0572419425987673e-13
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.1__beta_hairpin_0.1	13	18.180959595959596	5.156837834697902e-13	23	9.140100293996939e-19
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.1__beta_hairpin_0.25	14	19.57949494949495	2.3087246810897346e-14	25	3.497356615639897e-21
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.1__beta_hairpin_0.5	17	23.77510101010101	1.308791025749298e-18	24	5.792402431394479e-20
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.1__beta_hairpin_1.0	17	23.77510101010101	1.308791025749298e-18	23	9.140100293996939e-19
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.25__beta_hairpin_0.1	9	12.586818181818181	5.190545154851394e-08	20	2.6393664570210143e-15
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.25__beta_hairpin_0.25	11	15.383888888888889	1.9865406411345842e-10	24	5.792402431394479e-20
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.25__beta_hairpin_0.5	14	19.57949494949495	2.3087246810897346e-14	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.25__beta_hairpin_1.0	17	23.77510101010101	1.308791025749298e-18	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.5__beta_hairpin_0.1	8	11.188282828282828	7.102170742175267e-07	16	4.882974508817255e-11
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.5__beta_hairpin_0.25	10	13.985353535353536	3.3837043464144284e-09	19	3.369443414552566e-14
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.5__beta_hairpin_0.5	12	16.78242424242424	1.058738683901139e-11	21	1.9547727806466843e-16
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_0.5__beta_hairpin_1.0	14	19.57949494949495	2.3087246810897346e-14	21	1.9547727806466843e-16
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_1.0__beta_hairpin_0.1	6	8.39121212121212	8.975945120187941e-05	11	2.217673353739476e-06
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_1.0__beta_hairpin_0.25	7	9.789747474747475	8.56673938739102e-06	12	3.0497981024981465e-07
1989451307	rbp_trace_v2_score_all_context__beta_region_0.25__beta_repeat_1.0__beta_hairpin_0.5	8	11.188282828282828	7.102170742175267e-07	17	4.595856023183095e-12
